county,CZ,cz_label
45021,407,"Spartanburg, SC"
46023,480,"Parkston, SD"
47157,51,"Memphis, TN"
47025,224,"Middlesborough, KY"
48071,501,"Houston, TX"
48323,517,"Del Rio, TX & Eagle Pass, TX"
48203,526,"Longview, TX"
48037,55,"Texarkana, TX"
48277,516,"Greenville, TX & Paris, TX"
48359,500,"Amarillo, TX"
48315,526,"Longview, TX"
49019,538,"Moab, UT"
49045,536,"Salt Lake City, UT"
51099,550,"Fredericksburg, VA"
51027,548,"Bluefield, WV"
53055,563,"Friday Harbor, WA"
53011,449,"Portland, OR"
53045,561,"Seattle, WA"
53019,135,"Spokane, WA"
54037,551,"Winchester, VA"
55051,273,"Ironwood, MI"
55007,570,"Ashland, WI"
56029,578,"Cody, WY"
4025,34,"Prescott Valley, AZ & Flagstaff, AZ"
49029,536,"Salt Lake City, UT"
49011,536,"Salt Lake City, UT"
51031,545,"Lynchburg, VA"
51075,544,"Richmond, VA"
51033,550,"Fredericksburg, VA"
51155,547,"Roanoke, VA"
51161,547,"Roanoke, VA"
51149,544,"Richmond, VA"
51147,549,"South Boston, VA & Farmville, VA"
51157,552,"Culpeper, VA"
51029,549,"South Boston, VA & Farmville, VA"
51660,546,"Harrisonburg, VA"
51007,544,"Richmond, VA"
51097,544,"Richmond, VA"
53077,562,"Yakima, WA"
53017,559,"Wenatchee, WA"
53041,561,"Seattle, WA"
53043,135,"Spokane, WA"
54021,566,"Morgantown, WV"
54045,236,"Pikeville, KY"
54081,567,"Beckley, WV"
54093,564,"Elkins, WV"
55133,576,"Milwaukee, WI"
31091,349,"Broken Bow, NE"
1003,2,"Mobile, AL"
1129,2,"Mobile, AL"
5139,44,"El Dorado, AR"
6073,59,"San Diego, CA"
6081,58,"San Francisco, CA"
6091,68,"Susanville, CA"
6017,59,"San Diego, CA"
6007,61,"Redding, CA & Chico, CA"
9170,88,"Hartford, CT & Bridgeport, CT"
6109,60,"Stockton, CA & Modesto, CA"
4021,35,"Phoenix, AZ"
12075,92,"Gainesville, FL"
12045,94,"Panama City, FL"
16087,129,"Boise, ID"
13073,116,"Augusta, GA"
13313,110,"Dalton, GA"
13143,6,"Anniston, AL"
16073,129,"Boise, ID"
16043,131,"Idaho Falls, ID"
17003,142,"Carbondale, IL"
18047,170,"Greensburg, IN"
26089,263,"Traverse City, MI"
18147,162,"Evansville, IN"
18183,163,"Fort Wayne, IN"
8109,73,"Alamosa, CO"
26121,262,"Grand Rapids, MI"
21133,229,"Hazard, KY"
40125,437,"Oklahoma City, OK"
8043,78,"Colorado Springs, CO"
26047,267,"Petoskey, MI & Cheboygan, MI"
8013,72,"Denver, CO"
8049,81,"Laramie, WY"
22045,238,"Lafayette, LA"
22107,247,"Tallulah, LA"
22019,239,"Beaumont, TX & Lake Charles, LA"
22125,246,"Baton Rouge, LA"
42029,90,"Philadelphia, PA"
45029,473,"Charleston, SC"
16007,132,"Evanston, WY"
17185,162,"Evansville, IN"
17129,146,"Springfield, IL"
26163,272,"Detroit, MI"
18083,153,"Vincennes, IN"
19195,185,"Mason City, IA & Austin, MN"
18073,174,"Hammond, IN & Michigan City, IN & Gary, IN"
36047,382,"New York, NY"
26055,263,"Traverse City, MI"
40087,437,"Oklahoma City, OK"
36043,384,"Syracuse, NY"
21059,235,"Owensboro, KY"
26053,273,"Ironwood, MI"
5041,40,"Pine Bluff, AR"
6011,62,"Sacramento, CA"
12083,98,"Orlando, FL"
